,CAISO,ERCOT,New England,MISO,New York,PJM,SPP
1-Mar-20,35.11,26.42,40.50,28.15,29.47,29.75,27.27
1-Apr-20,34.68,27.21,30.43,27.06,27.57,28.56,25.29
1-May-20,31.78,28.59,30.56,27.12,28.22,29.06,27.14
1-Jun-20,31.59,30.75,29.08,28.39,26.65,29.37,28.20
1-Jul-20,35.64,34.65,29.84,31.07,28.11,32.07,31.84
1-Aug-20,36.09,33.91,31.50,31.33,30.00,32.56,33.71
1-Sep-20,34.31,28.89,28.14,29.93,26.25,31.07,29.20
1-Oct-20,36.06,26.97,29.36,28.88,25.60,28.72,28.18
1-Nov-20,39.14,26.38,28.50,28.72,25.65,28.72,28.15
1-Dec-20,40.14,27.92,41.94,29.18,31.08,31.95,28.06
1-Jan-21,40.10,28.99,48.01,30.49,34.00,34.22,28.41
1-Feb-21,36.99,27.88,40.16,30.23,32.42,33.87,28.29
1-Mar-21,35.31,28.04,40.39,27.60,30.76,30.80,26.08
1-Apr-21,35.34,25.44,30.21,27.20,28.30,29.38,25.55
1-May-21,32.20,29.54,30.84,27.02,28.39,29.37,26.87
1-Jun-21,31.96,28.93,29.32,28.59,26.97,30.01,28.57
1-Jul-21,38.46,29.67,30.93,31.49,29.06,32.89,32.70
1-Aug-21,39.26,32.23,32.32,31.81,30.20,33.85,34.94
1-Sep-21,36.83,26.69,29.33,29.57,27.33,31.12,29.23
1-Oct-21,36.70,26.12,31.49,28.68,26.70,29.02,28.84
1-Nov-21,41.29,26.53,29.33,28.33,26.58,28.93,28.47
1-Dec-21,40.63,27.72,43.17,29.32,30.72,33.10,28.23
1-Jan-22,40.10,28.99,48.01,30.49,34.00,34.22,28.41
1-Feb-22,36.99,27.88,40.16,30.23,32.42,33.87,28.29
1-Mar-22,35.21,27.23,40.45,27.88,30.12,30.28,26.68
1-Apr-22,35.01,26.33,30.32,27.13,27.94,28.97,25.42
1-May-22,31.99,29.07,30.70,27.07,28.31,29.22,27.01
1-Jun-22,31.78,29.84,29.20,28.49,26.81,29.69,28.39
1-Jul-22,37.05,32.16,30.39,31.28,28.59,32.48,32.27
1-Aug-22,37.68,33.07,31.91,31.57,30.10,33.21,34.33
1-Sep-22,35.57,27.79,28.74,29.75,26.79,31.10,29.22
1-Oct-22,36.38,26.55,30.43,28.78,26.15,28.87,28.51
1-Nov-22,40.22,26.46,28.92,28.53,26.12,28.83,28.31
1-Dec-22,40.39,27.82,42.56,29.25,30.90,32.53,28.15
