Unit Name ,Fuel Type ,Month Unit in Service ,Year Unit in Service ,Dispatching ISO ,Dispatching ISO Zonal Location,Operating Capacity (Owner - GSC) (MW),Summer Capacity (Owner - GSC) (MW),Winter Capacity (Owner - GSC) (MW),Non-Fuel Variable O&M Costs per MWh (Owner) ($/MWh),Fuel Costs per MWh (Owner) ($/MWh),Variable Costs ($/MWh),Fixed O&M Costs per kW-Year (Owner) ($/kW-year)
1515 S Caron Road CT GT1,Gas,5,2000,PJM,COMED,3.5,3,3.5,86.674227,37.629648,124.303875,14.967474
491 E. 48th Street CT 7,Gas,5,1992,MISO,Z7,39,32,39,4.679199,32.847471,37.52667,4.133887
491 E. 48th Street CT 8,Gas,5,1992,MISO,Z7,39,32,39,4.679199,33.084119,37.763318,4.133887
491 E. 48th Street CT 9,Gas,4,2000,MISO,Z7,83.5,72,83.5,4.679199,33.344568,38.023767,4.133887
500MW CC CC CA01,Gas,12,2005,New York,Zone J (NYC),184.3,172.3,184.3,1.313564,20.652765,21.966329,10.812048
500MW CC CC CT01,Gas,12,2005,New York,Zone J (NYC),184.4,151.3,184.4,1.313564,20.652765,21.966329,10.812048
500MW CC CC CT02,Gas,12,2005,New York,Zone J (NYC),184.4,151.3,184.4,1.313564,20.652765,21.966329,10.812048
59th Street CT GT1,Gas,6,1969,New York,Zone J (NYC),21.6,15.5,21.6,111.234542,42.0969,153.331442,8.773267
A B Brown CT 4,Gas,6,1991,MISO,Z6,87,80,87,6.469368,33.660451,40.129819,5.362555
A B Brown CT 5,Gas,5,2002,MISO,Z6,87,80,87,6.469368,34.284466,40.753834,5.362555
A B Brown ST 1,Coal,3,1979,MISO,Z6,245,245,245,8.741357,25.806404,34.547761,38.346878
A B Brown ST 2,Coal,2,1986,MISO,Z6,245,245,245,8.741357,24.892027,33.633384,38.346878
A.J. Mihm Generating Station IC M1,Gas,3,2019,MISO,Z2,18.3,18.3,18.3,15.141072,28.734006,43.875078,10.395876
A.J. Mihm Generating Station IC M2,Gas,3,2019,MISO,Z2,18.3,18.3,18.3,15.141072,28.734006,43.875078,10.395876
A.J. Mihm Generating Station IC M3,Gas,3,2019,MISO,Z2,18.3,18.3,18.3,15.141072,28.734006,43.875078,10.395876
A.L. Pierce CT 4,Gas,10,2007,New England,Connecticut,94.6,74.1,94.6,34.53763,42.707535,77.245165,3.863129
Aberdeen CT 2,Gas,4,2013,SPP,SPP,60,52,60,1.479982,25.965213,27.445195,11.618664
Aberdeen CT GT1,Gas,5,1978,SPP,SPP,28,20.5,28,1.479982,144.902813,146.382795,11.618664
Acadia Power Partners CC CT11,Gas,7,2002,MISO,Z9,204.7,164.7,204.7,0.929794,18.811511,19.741305,21.275435
Acadia Power Partners CC CT12,Gas,7,2002,MISO,Z9,204.7,169,204.7,0.929794,18.811511,19.741305,21.275435
Acadia Power Partners CC CT24,Gas,8,2002,MISO,Z9,168.2,146.2,168.2,0.929794,18.811511,19.741305,21.275435
Acadia Power Partners CC CT25,Gas,8,2002,MISO,Z9,173.8,145.6,173.8,0.929794,18.811511,19.741305,21.275435
