Unit Name,1-Jan-2021,1-Feb-2021,1-Mar-2021,1-Apr-2021,1-May-2021,1-Jun-2021,1-Jul-2021,1-Aug-2021,1-Sep-2021,1-Oct-2021,1-Nov-2021,1-Dec-2021,1-Jan-2022,1-Feb-2022,1-Mar-2022,1-Apr-2022,1-May-2022,1-Jun-2022,1-Jul-2022,1-Aug-2022,1-Sep-2022,1-Oct-2022,1-Nov-2022,1-Dec-2022
1515 S Caron Road CT GT1,-4323.940469068345,-3743.0936837214613,-3662.9134474016796,-4147.472171963471,-3930.2612561920023,-4274.312566685692,-4449.235421917808,-3899.0638947941516,-4250.926628352359,-4349.966057912431,-2113.4881919634704,-4405.179286890926,-4304.593659068345,-3722.840163721461,-3628.92452740168,-4138.31039696347,-3916.8587061920025,-4271.8513316856925,-4449.235421917808,-3898.421224794152,-4251.054763352359,-4351.435322912432,-2124.2681219634705,-4408.581601890926
491 E. 48th Street CT 7,129406.05155437897,33994.21041485318,35068.13647954032,52827.765019383616,20665.45845373401,54919.076427716675,87146.67716631439,107156.34890534676,63550.09540438371,66584.67654083068,83785.8882977169,101314.75728437907,135792.1578456697,37290.21633771031,39601.28769115322,59858.83646938366,25202.705202121124,59915.58874938339,95262.40224083062,111272.13804405653,66478.58882938372,67966.24682308872,81785.41727105022,16229.96078470167
491 E. 48th Street CT 8,128694.33944728228,33469.280001424646,34257.181505217755,52360.6734810503,20323.975389734023,54021.07741238337,85802.78036573374,105873.51998050808,63033.25617238374,66133.61150999196,83277.27712105024,100280.22127244367,134999.44656057292,36720.00977499601,38818.46022637903,59277.39233338366,24756.73542483083,58903.68929805013,93812.90243205643,109896.97651605662,65934.06178138373,67480.77525166936,81321.18839771688,15882.312065604907
491 E. 48th Street CT 9,273906.8187489889,70511.15568990729,71459.76116502659,111018.16992930001,42752.791943542994,113636.24266041069,180603.52295270388,223753.02881395677,133745.90003041126,140549.87838452123,177123.66756741097,212330.18066677955,287210.4873244573,77318.93011757394,81303.74500023085,125544.3249544112,51960.925740650564,123743.83256463292,197463.22089206954,232132.82928248908,139903.1095364113,143347.20053211253,173032.69728213322,33237.34694257512
500MW CC CC CA01,1414382.9085061578,614367.7432556258,784189.4272331591,730211.5282166856,985119.477806747,947329.7859061884,1125715.602066429,962466.6684511714,633025.1136048269,542144.2373603561,562709.5729726187,1077688.362234599,1801532.5218656254,947244.7190662435,991947.7365873156,697499.032372288,973700.9547661364,938111.416164987,1134678.9066736733,1004576.7086557553,641350.9642753005,422749.21861281997,510176.6353822948,1017451.5483785381
500MW CC CC CT01,1415150.3436165787,614701.0952595628,784614.9233955212,730607.7363166402,985653.9973280744,947843.8009826432,1126326.4081445984,962988.8967031802,633368.5889784591,542438.4013524125,563014.8955841074,1078273.1090399353,1802510.02187749,947758.6879859755,992485.961078139,697877.4908814428,974229.2786699701,938620.4294130416,1135294.5761835342,1005121.7855459647,641698.9572021998,422978.5996321431,510453.4539581939,1018003.6110743489
500MW CC CC CT02,1415150.3436165787,614701.0952595628,784614.9233955212,730607.7363166402,985653.9973280744,947843.8009826432,1126326.4081445984,962988.8967031802,633368.5889784591,542438.4013524125,563014.8955841074,1078273.1090399353,1802510.02187749,947758.6879859755,992485.961078139,697877.4908814428,974229.2786699701,938620.4294130416,1135294.5761835342,1005121.7855459647,641698.9572021998,422978.5996321431,510453.4539581939,1018003.6110743489
59th Street CT GT1,-8042.62545151603,-14537.183237260277,-15841.49731479346,-9404.308706893149,-9777.391207903134,5847.979542706855,-11401.281843567655,-15894.172312728942,-15505.762807693152,-13072.749774509586,-15575.553468493154,-11194.1627165483,-7031.235541941838,-14537.183237260277,-15791.33261079346,-9420.57307489315,-9788.28732790314,5836.042518706856,-11399.340651567654,-15885.677464728942,-15503.959423693152,-13136.566110509588,-15575.553468493154,-11241.260004548301
A B Brown CT 4,189416.38373731764,98371.41404767228,19388.924932995164,34009.38098612334,11004.733622382177,162393.51868512342,147959.09265522094,153861.2149858662,181238.56150245672,159874.95399364058,154674.04416178973,48049.99168664024,198481.60268844673,112057.62775331498,81574.51998618853,47790.27445312341,17465.535848091902,170956.79487912342,162589.031530479,161386.65436089798,188489.1781391234,162731.17095364037,151222.37822512313,35187.764338575646
A B Brown CT 5,186701.9184873176,92498.97049202929,16826.722510349988,31529.15450712332,9901.874527317654,158116.04745312338,141819.0977169951,147872.12644583388,178088.17134579,157317.96749415662,152366.9729707897,43080.02275751117,195541.9167282209,106006.63228310061,76503.81947286607,44732.75903912339,15803.047167833829,166435.18772712338,155535.46818873688,154906.02915712388,184980.99566845663,160125.28431364032,149133.47242945645,31112.932343769127
