Unit Name,1-Mar-2020,1-Apr-2020,1-May-2020,1-Jun-2020,1-Jul-2020,1-Aug-2020,1-Sep-2020,1-Oct-2020,1-Nov-2020,1-Dec-2020,1-Jan-2021,1-Feb-2021,1-Mar-2021,1-Apr-2021,1-May-2021,1-Jun-2021,1-Jul-2021,1-Aug-2021,1-Sep-2021,1-Oct-2021,1-Nov-2021,1-Dec-2021,1-Jan-2022,1-Feb-2022,1-Mar-2022,1-Apr-2022,1-May-2022,1-Jun-2022,1-Jul-2022,1-Aug-2022,1-Sep-2022,1-Oct-2022,1-Nov-2022,1-Dec-2022
1515 S Caron Road CT GT1,-3614.650226467478,-4118.357417349727,-3887.875200257801,-4261.344327071949,-4437.079040983606,-3886.3647338599503,-4226.074778460838,-4331.48720697823,-4189.73000068306,-4383.963120956725,597.2917111467041,-3697.6792937214614,-3612.106607401679,-4119.121643074582,-3894.6065811920025,-4270.868566685693,-4449.235421917808,-3894.006114794152,-4237.4890180745815,-4342.593587912432,-4200.759240296804,-4392.094501890926,597.2917111467041,-3697.6792937214614,-3619.3866074016796,-4124.8616430745815,-3897.231581192003,-4271.988566685693,-4449.235421917808,-3896.2461147941517,-4237.629018074582,-4343.118587912431,-4201.109240296804,-4394.089501890926
491 E. 48th Street CT 7,34446.798714389006,54230.63838620224,21411.45479664732,53189.715039535535,81659.77784987289,106315.98541664722,133457.5588645354,68693.96803019555,82727.03677120218,17711.14515471177,135090.61108857262,38231.3081498532,36710.60204663704,54494.73322271697,21226.75659373398,53877.91052271682,83869.41900115318,108914.98836018554,66740.99486938366,68231.10023050809,81897.16007105031,17915.378779540377,135090.61108857262,38231.3081498532,33641.96329373379,54344.583222716945,21299.94279437915,53509.915037716855,82730.37406857249,107587.80839631466,67157.63986438359,68442.05602792744,82302.76007105036,17793.580965992052
491 E. 48th Street CT 8,33773.06185838902,53729.78836986893,21066.985532002174,52365.6895082022,80437.53230167938,105063.00373277627,132529.9084612021,68191.33154477624,82244.36309053548,17322.90083406661,134315.35224057265,37633.54871113894,35856.04508908866,53988.42320638365,20885.273529733993,53024.1502343835,82586.95453257259,107606.24104431456,66196.46782138367,67739.25301708873,81428.63339771696,17511.654456443615,134315.35224057265,37633.54871113894,32977.4557097338,53841.00320638364,20957.423529733987,52676.58434471686,81484.14267160477,106296.74460637917,66610.64782138361,67945.95301708876,81822.83792705035,17397.277373346897
491 E. 48th Street CT 9,70743.09891846564,113873.14145421507,44300.299017632846,110180.75720354824,169384.8914694765,222058.28762764335,281614.4235684925,144846.39644825086,174959.47213760382,36220.8855603531,285754.45920884935,79215.18574943113,74792.25286926849,114416.23386241122,43911.248961494566,111589.54102018861,173899.37742739756,227347.30170758578,140451.40293441113,143897.89639211266,173258.13893213333,36606.375146542865,285754.45920884935,79215.18574943113,69054.75324553714,114105.0945666333,44065.72396149457,110846.39102018862,171582.6702245856,224631.97350640857,141332.00295241107,144332.09639211267,174088.417443189,36372.57514654295
500MW CC CC CA01,1070822.2334291441,809877.1246969933,1065787.9058496454,754952.3451878869,933488.1365871985,1011009.8607529529,525892.1433742351,513142.65317311557,555627.0045211767,1184537.5555877476,1968960.245266976,1194887.6676960157,1207078.488707367,878801.0909888899,1078071.078514746,779232.6766311487,1015859.9670696082,1032422.0663857961,627343.2879697522,610679.7744151575,629054.5274970283,1149727.7957173425,1968960.245266976,1194887.6676960157,1137865.1830400343,844361.7430317862,1072053.0679686007,766753.4892629827,974076.0452651754,1021455.4989732725,575193.8423928133,560489.206992219,591506.9488590639,1166754.6502946313
500MW CC CC CT01,1071403.2547169512,810316.5588395315,1066366.1955435409,755361.9774967247,933994.6412733556,1011558.4282303017,526177.4890841504,513421.081091278,555928.4841763701,1185180.2780812841,1970028.5904895836,1195536.0060941146,1207733.4417668933,879277.9228342451,1078656.0329794856,779655.4832923707,1016411.1661835909,1032982.2519888268,627683.680421174,611011.1253508138,629395.848456061,1150351.630658046,1970028.5904895836,1195536.0060941146,1138482.5814030506,844819.8883074407,1072634.7570993488,767169.5247970377,974604.5726907123,1022009.73418704,575505.9388889573,560793.3248473424,591827.8967423298,1167387.7238976124
500MW CC CC CT02,1071403.2547169512,810316.5588395315,1066366.1955435409,755361.9774967247,933994.6412733556,1011558.4282303017,526177.4890841504,513421.081091278,555928.4841763701,1185180.2780812841,1970028.5904895836,1195536.0060941146,1207733.4417668933,879277.9228342451,1078656.0329794856,779655.4832923707,1016411.1661835909,1032982.2519888268,627683.680421174,611011.1253508138,629395.848456061,1150351.630658046,1970028.5904895836,1195536.0060941146,1138482.5814030506,844819.8883074407,1072634.7570993488,767169.5247970377,974604.5726907123,1022009.73418704,575505.9388889573,560793.3248473424,591827.8967423298,1167387.7238976124
59th Street CT GT1,-15730.237971208462,-9324.35560587541,-9661.00510431814,-7681.798553075413,-11402.774067982655,-15840.516713143945,-15487.774058675412,-13043.548182924587,-15532.997311475412,-11074.383684963303,-6638.0790379418395,-14537.183237260277,-15746.34866679346,-9335.37576289315,-9693.963799903133,-7703.618710093152,-11426.228763567653,-15880.171408728944,-15507.002215693152,-13040.002878509586,-15575.553468493154,-11141.6863805483,-6638.0790379418395,-14537.183237260277,-15760.17266679346,-9350.927762893152,-9699.14779990314,-7713.9867100931515,-11436.380763567657,-15882.331408728944,-15518.666215693152,-13063.762878509588,-15575.553468493154,-11130.022380548302
A B Brown CT 4,68607.78324641338,36808.8432073607,12103.879778252216,159232.85798636032,138300.95236496217,152376.17938522014,191326.5461056942,164207.21367399418,152861.56622236036,41913.392463219934,197492.502838221,115765.35670374347,21420.183341221025,37282.000623123204,11778.117102640266,160502.6876551231,142191.5142669956,157099.5527621241,189143.9958191233,163260.81303364062,151409.33252512326,42864.789787607784,197492.5028382209,115765.35670374359,22720.847918866137,36990.30287612341,11886.867102640324,159815.3876551234,140184.11968935037,154656.59276212435,190177.55581912334,163678.41303364057,152087.93252512303,42334.95978760816
A B Brown CT 5,64112.22383267147,34257.24587236067,10866.287352994157,155033.7797573604,132515.01175673632,146486.17746331665,187738.14137002744,161598.38906925227,150720.08996136044,37382.64640370384,194573.07352299514,109646.23135331478,18700.58854035002,34724.93554112317,10578.699727317697,156268.80942612307,136263.28017170515,150873.85641209167,185615.97038845663,160654.9263936406,149310.8393294565,38277.463032994936,194573.0735229951,109646.2313533149,19875.82435828542,34438.70554112337,10666.674677382245,155598.90942612334,134312.0043537697,148607.07199583403,186618.21038845665,161072.52639364052,149970.64963012302,37773.76372809195
