Unit Name,1-Jan-2021,1-Feb-2021,1-Mar-2021,1-Apr-2021,1-May-2021,1-Jun-2021,1-Jul-2021,1-Aug-2021,1-Sep-2021,1-Oct-2021,1-Nov-2021,1-Dec-2021,1-Jan-2022,1-Feb-2022,1-Mar-2022,1-Apr-2022,1-May-2022,1-Jun-2022,1-Jul-2022,1-Aug-2022,1-Sep-2022,1-Oct-2022,1-Nov-2022,1-Dec-2022
1515 S Caron Road CT GT1,870.127125,870.127125,1740.25425,1305.1906875,2175.3178125000004,435.0635625,0.0,435.0635625,435.0635625,435.0635625,1305.1906875,435.0635625,870.127125,870.127125,1740.25425,1305.1906875,2175.3178125000004,435.0635625,0.0,435.0635625,435.0635625,435.0635625,1305.1906875,435.0635625
491 E. 48th Street CT 7,114156.13014000001,84885.32754000001,131718.6117,74640.54663000001,54150.98481000001,143426.93274000002,215140.39911000003,204895.6182,81958.24728,73177.0065,81958.24728,168307.11495000002,127327.99131,90739.48806,125864.45118000002,92203.02819,73177.0065,162452.95443000004,234166.42080000002,218067.47937000004,86348.86767,77567.62689,76104.08676,55614.52494
491 E. 48th Street CT 8,110457.70515,82475.08651199998,128130.93797399999,73638.4701,54492.467873999994,141385.862592,212078.79388800001,198823.86927,82475.08651199998,70692.931296,81002.31710999999,162004.63421999998,123712.629768,89838.933522,123712.629768,92784.472326,70692.931296,160531.86481799997,229752.026712,219442.64089799998,86893.394718,76584.008904,73638.4701,53019.698472000004
491 E. 48th Street CT 9,238123.8408375,165099.196314,273048.670827,158749.22722499998,107949.47451300001,285748.609005,450847.805319,422272.9444185,174624.1499475,152399.25813600002,171449.165403,342898.330806,266698.701738,187324.08812549998,260348.732649,200024.0263035,152399.25813600002,346073.3153505,495297.588942,450847.805319,180974.1190365,165099.196314,155574.2426805,107949.47451300001
500MW CC CC CA01,1453373.6020573003,1230711.9081488003,1797487.1290068005,1939180.9342213003,1497905.9408390003,1473615.5742308001,2190181.3891727002,2311633.2222137004,2178036.2058686004,1927035.7509172002,1663890.1126617005,1886551.8065702,1752954.7902251002,2028245.6117847003,2133503.8670869004,1866309.8343967004,1485760.7575349002,1457421.996492,2194229.7836074,2388552.716473,2202326.5724768,1627454.5627494,1514099.5185778001,1752954.7902251002
500MW CC CC CT01,1454162.1932684002,1231379.6845504001,1798462.4340144002,1940233.1213804001,1498718.6950120002,1474415.1486064002,2191369.7675716,2312887.4995996,2179217.9943688004,1928081.3481776002,1664792.9287836002,1887575.4375016,1753905.9322708,2029346.1248676004,2134661.4926252,1867322.4821636004,1486566.9218092002,1458212.7843360002,2195420.3586392,2389848.729884,2203521.5407744,1628337.6091752,1514921.0592824002,1753905.9322708
500MW CC CC CT02,1454162.1932684002,1231379.6845504001,1798462.4340144002,1940233.1213804001,1498718.6950120002,1474415.1486064002,2191369.7675716,2312887.4995996,2179217.9943688004,1928081.3481776002,1664792.9287836002,1887575.4375016,1753905.9322708,2029346.1248676004,2134661.4926252,1867322.4821636004,1486566.9218092002,1458212.7843360002,2195420.3586392,2389848.729884,2203521.5407744,1628337.6091752,1514921.0592824002,1753905.9322708
59th Street CT GT1,26495.673177599998,0.0,3311.9591471999997,6623.9182943999995,9935.8774416,13247.836588799999,3311.9591471999997,3311.9591471999997,3311.9591471999997,6623.9182943999995,0.0,9935.8774416,29807.632324799997,0.0,3311.9591471999997,6623.9182943999995,9935.8774416,13247.836588799999,3311.9591471999997,3311.9591471999997,3311.9591471999997,6623.9182943999995,0.0,9935.8774416
A B Brown CT 4,174564.71265,380551.07357699994,167582.124144,164090.829891,73317.179313,275812.245987,401498.839095,401498.839095,212968.94943299997,167582.124144,153616.947132,338655.54254099994,192021.183915,391024.956336,331672.954035,202495.066674,111721.416096,300251.305758,467833.429902,429429.193119,230425.42069799997,167582.124144,136160.475867,268829.65748099994
A B Brown CT 5,177279.17790000004,375831.85714800004,166642.42722600003,159551.26011000003,70911.67116000001,276555.517524,390014.19138000003,379377.440706,198552.67924800003,163096.84366800002,145368.925878,312011.35310400004,191461.51213200003,393559.7749380001,322648.10377800005,198552.67924800003,99276.33962400001,283646.68464000005,432561.1940760001,414833.27628600004,226917.34771200002,170188.010784,131186.59164600002,265918.76685
A B Brown ST 1,702528.7199350001,1134202.99363,710992.92138,567101.496815,372424.86358,1066489.38207,1557413.0658800001,1582805.670215,685600.317045,533244.691035,541708.89248,1405057.4398700001,914133.75606,1176524.000855,1159595.597965,821027.540165,634815.1083750001,1108810.3892950001,1794410.70634,1675911.88611,753313.928605,550173.0939249999,524780.48959,1227309.209525
A B Brown ST 2,791057.1916799999,1145384.89212,782817.0126,593292.89376,412008.954,1062983.10132,1656275.99508,1648035.816,700415.2217999999,543851.8192799999,618013.431,1516192.9507199998,997061.66868,1219546.50384,1203066.14568,856978.62432,766336.65444,1194825.9666000002,1919961.72564,1722197.42772,782817.0126,568572.35652,527371.46112,1293708.11556
A.J. Mihm Generating Station IC M1,39342.7824426,29707.8153138,24890.3317494,27299.073531600003,43357.35207960001,40948.6102974,57809.80277280001,67444.76990160001,27299.073531600003,33722.384950800006,47371.9217166,37736.954587800006,43357.35207960001,32919.4710234,36131.126733000005,32919.4710234,48174.835644,42554.438152200004,64233.11419200001,73065.1673934,31313.643168600003,36131.126733000005,44963.1799344,31313.643168600003
A.J. Mihm Generating Station IC M2,39342.7824426,29707.8153138,24890.3317494,27299.073531600003,43357.35207960001,40948.6102974,57809.80277280001,67444.76990160001,27299.073531600003,33722.384950800006,47371.9217166,37736.954587800006,43357.35207960001,32919.4710234,36131.126733000005,32919.4710234,48174.835644,42554.438152200004,64233.11419200001,73065.1673934,31313.643168600003,36131.126733000005,44963.1799344,31313.643168600003
