Unit Name,1-Mar-2020,1-Apr-2020,1-May-2020,1-Jun-2020,1-Jul-2020,1-Aug-2020,1-Sep-2020,1-Oct-2020,1-Nov-2020,1-Dec-2020,1-Jan-2021,1-Feb-2021,1-Mar-2021,1-Apr-2021,1-May-2021,1-Jun-2021,1-Jul-2021,1-Aug-2021,1-Sep-2021,1-Oct-2021,1-Nov-2021,1-Dec-2021,1-Jan-2022,1-Feb-2022,1-Mar-2022,1-Apr-2022,1-May-2022,1-Jun-2022,1-Jul-2022,1-Aug-2022,1-Sep-2022,1-Oct-2022,1-Nov-2022,1-Dec-2022
1515 S Caron Road CT GT1,1740.25425,1305.1906875,2175.3178125000004,435.0635625,0.0,435.0635625,870.127125,435.0635625,435.0635625,435.0635625,11311.652625,870.127125,1740.25425,1740.25425,2175.3178125000004,435.0635625,0.0,435.0635625,870.127125,435.0635625,435.0635625,435.0635625,11311.652625,870.127125,1740.25425,1740.25425,2175.3178125000004,435.0635625,0.0,435.0635625,870.127125,435.0635625,435.0635625,435.0635625
491 E. 48th Street CT 7,106838.42949000001,80494.70715000002,55614.52494,133182.15183000002,194650.83729000002,203432.07807000002,147817.55313000001,80494.70715000002,77567.62689,62932.22559000001,122937.37092000002,95130.10845000001,137572.77222,80494.70715000002,54150.98481000001,139036.31235000002,206359.15833,212213.31885,86348.86767,79031.16702000001,76104.08676,65859.30585,122937.37092000002,95130.10845000001,105374.88936000002,80494.70715000002,55614.52494,134645.69196,201968.53794,206359.15833,87812.40780000002,80494.70715000002,76104.08676,64395.76572
491 E. 48th Street CT 8,107512.166346,79529.547708,54492.467873999994,131076.47677799998,194405.561064,198823.86927,147276.9402,79529.547708,76584.008904,58910.776079999996,123712.629768,94257.241728,135494.784984,79529.547708,54492.467873999994,132549.24618,203242.17747599998,207660.48568199997,86893.394718,78056.778306,73638.4701,63329.084286,123712.629768,94257.241728,106039.39694400001,79529.547708,54492.467873999994,131076.47677799998,195878.330466,204714.946878,86893.394718,78056.778306,76584.008904,60383.545482
491 E. 48th Street CT 9,228598.887204,165099.196314,117474.4281465,282573.6244605,406398.021696,415922.9753295,301623.5317275,165099.196314,161924.2117695,123824.3972355,263523.71719349996,196849.041759,282573.6244605,171449.165403,117474.4281465,282573.6244605,422272.9444185,438147.86714100005,184149.103581,165099.196314,155574.2426805,126999.38178,263523.71719349996,196849.041759,225423.9026595,168274.1808585,117474.4281465,282573.6244605,419097.95987399993,428622.91350749996,187324.08812549998,165099.196314,158749.22722499998,126999.38178
500MW CC CC CA01,2222568.5446503004,2056584.3728276005,1631502.9571841003,1663890.1126617005,1837971.0733538,2388552.716473,1959422.9063948004,1858213.0455273,1655793.3237923002,2125407.0782175004,1890600.2010049003,2339971.9832566003,2408794.6886465005,2117310.2893481003,1663890.1126617005,1720567.6347475003,1995858.4563071004,2420939.8719506003,2173987.8114339,2072777.9505664003,1829874.2844844002,2064681.1616970003,1890600.2010049003,2339971.9832566003,2335923.5888219005,2088971.5283052002,1647696.5349229001,1700325.6625740002,1922987.3564825004,2400697.8997771004,2072777.9505664003,1943229.3286560006,1744858.0013557002,2088971.5283052002
500MW CC CC CT01,2223774.4961124,2057700.2623408004,1632388.2002428002,1664792.9287836002,1838968.3446904,2389848.729884,1960486.0767184002,1859221.3000284,1656691.7466484,2126560.3104900005,1891626.0285692003,2341241.6370728,2410101.6852220003,2118459.1283548,1664792.9287836002,1721501.2037300002,1996941.3963268,2422253.4584248005,2175167.4033012,2073902.6266112002,1830867.1625552,2065801.4444760003,1891626.0285692003,2341241.6370728,2337191.0460052006,2090104.9908816002,1648590.5645132002,1701248.2483920003,1924030.7571100004,2402000.5030868,2073902.6266112002,1944283.7124480004,1745804.7501356,2090104.9908816002
500MW CC CC CT02,2223774.4961124,2057700.2623408004,1632388.2002428002,1664792.9287836002,1838968.3446904,2389848.729884,1960486.0767184002,1859221.3000284,1656691.7466484,2126560.3104900005,1891626.0285692003,2341241.6370728,2410101.6852220003,2118459.1283548,1664792.9287836002,1721501.2037300002,1996941.3963268,2422253.4584248005,2175167.4033012,2073902.6266112002,1830867.1625552,2065801.4444760003,1891626.0285692003,2341241.6370728,2337191.0460052006,2090104.9908816002,1648590.5645132002,1701248.2483920003,1924030.7571100004,2402000.5030868,2073902.6266112002,1944283.7124480004,1745804.7501356,2090104.9908816002
59th Street CT GT1,3311.9591471999997,6623.9182943999995,9935.8774416,9935.8774416,3311.9591471999997,3311.9591471999997,3311.9591471999997,6623.9182943999995,0.0,9935.8774416,29807.632324799997,0.0,3311.9591471999997,6623.9182943999995,9935.8774416,9935.8774416,3311.9591471999997,3311.9591471999997,3311.9591471999997,6623.9182943999995,0.0,9935.8774416,29807.632324799997,0.0,3311.9591471999997,6623.9182943999995,9935.8774416,9935.8774416,3311.9591471999997,3311.9591471999997,3311.9591471999997,6623.9182943999995,0.0,9935.8774416
A B Brown CT 4,293268.717252,164090.829891,87282.356325,275812.245987,380551.07357699994,394516.25058899994,233916.714951,171073.418397,146634.358626,303742.600011,188529.889662,398007.54484199994,185038.59540899997,167582.124144,87282.356325,275812.245987,384042.36783,408481.42760099994,230425.42069799997,167582.124144,136160.475867,303742.600011,188529.889662,398007.54484199994,188529.889662,164090.829891,87282.356325,275812.245987,380551.07357699994,408481.42760099994,230425.42069799997,167582.124144,136160.475867,303742.600011
A B Brown CT 5,287192.26819800003,166642.42722600003,74457.25471800001,273009.93396600004,368740.690032,375831.85714800004,230462.93127000003,170188.010784,138277.758762,290737.851756,187915.92857400002,397105.35849600006,166642.42722600003,166642.42722600003,70911.67116000001,273009.93396600004,382923.02426400007,386468.60782200005,226917.34771200002,170188.010784,131186.59164600002,294283.435314,187915.92857400002,397105.35849600006,177279.17790000004,166642.42722600003,74457.25471800001,273009.93396600004,372286.27359,379377.440706,226917.34771200002,170188.010784,138277.758762,290737.851756
A B Brown ST 1,1024168.3748450001,600958.302595,406281.66936,1015704.1734,1438914.2456500002,1574341.46877,795634.9358300001,567101.496815,533244.691035,1328879.626865,888741.151725,1201916.60519,761778.13005,600958.302595,406281.66936,1032632.5762900001,1498163.655765,1599734.0731050002,770242.3314949999,558637.2953700001,524780.48959,1345808.0297550003,888741.151725,1201916.60519,778706.5329400001,600958.302595,406281.66936,1024168.3748450001,1472771.0514300002,1591269.8716600002,778706.5329400001,558637.2953700001,533244.691035,1337343.82831
A B Brown ST 2,1071223.2804,650974.14732,444969.67032,1046502.7431600001,1516192.9507199998,1631555.45784,799297.37076,593292.89376,601533.07284,1376109.9063600001,972341.13144,1252507.22016,807537.54984,667454.5054799999,444969.67032,1046502.7431600001,1573874.20428,1689236.7114,791057.1916799999,568572.35652,527371.46112,1400830.4435999999,972341.13144,1252507.22016,832258.08708,667454.5054799999,444969.67032,1046502.7431600001,1540913.48796,1648035.816,791057.1916799999,576812.5356,560332.17744,1392590.26452
A.J. Mihm Generating Station IC M1,31313.643168600003,29707.8153138,44963.1799344,36934.0406604,51386.4913536,66641.8559742,31313.643168600003,36934.0406604,46569.0077892,34525.2988782,42554.438152200004,33722.384950800006,26496.159604200002,29707.8153138,44963.1799344,39342.7824426,53795.23313580001,69853.51168380001,31313.643168600003,36934.0406604,44963.1799344,34525.2988782,42554.438152200004,33722.384950800006,29707.8153138,29707.8153138,44963.1799344,38539.8685152,52189.40528100001,68247.683829,31313.643168600003,36934.0406604,45766.0938618,34525.2988782
A.J. Mihm Generating Station IC M2,31313.643168600003,29707.8153138,44963.1799344,36934.0406604,51386.4913536,66641.8559742,31313.643168600003,36934.0406604,46569.0077892,34525.2988782,42554.438152200004,33722.384950800006,26496.159604200002,29707.8153138,44963.1799344,39342.7824426,53795.23313580001,69853.51168380001,31313.643168600003,36934.0406604,44963.1799344,34525.2988782,42554.438152200004,33722.384950800006,29707.8153138,29707.8153138,44963.1799344,38539.8685152,52189.40528100001,68247.683829,31313.643168600003,36934.0406604,45766.0938618,34525.2988782
A.J. Mihm Generating Station IC M3,31313.643168600003,29707.8153138,44963.1799344,36934.0406604,51386.4913536,66641.8559742,31313.643168600003,36934.0406604,46569.0077892,34525.2988782,42554.438152200004,33722.384950800006,26496.159604200002,29707.8153138,44963.1799344,39342.7824426,53795.23313580001,69853.51168380001,31313.643168600003,36934.0406604,44963.1799344,34525.2988782,42554.438152200004,33722.384950800006,29707.8153138,29707.8153138,44963.1799344,38539.8685152,52189.40528100001,68247.683829,31313.643168600003,36934.0406604,45766.0938618,34525.2988782
A.L. Pierce CT 4,314217.88218699995,7307.3926089999995,51151.748262999994,58459.140871999996,43844.355654,292295.70436,21922.177827,0.0,94996.10391699999,723431.868291,803813.18699,467673.12697599997,306910.489578,7307.3926089999995,65766.533481,58459.140871999996,43844.355654,292295.70436,21922.177827,80381.318699,109610.88913499999,738046.653509,803813.18699,467673.12697599997,306910.489578,7307.3926089999995,58459.140871999996,58459.140871999996,43844.355654,292295.70436,21922.177827,73073.92609,102303.49652599999,723431.868291
Aberdeen CT 2,556588.5546,242066.61990000002,339222.6102,469312.8345,589522.7886,625750.446,456139.14090000006,284881.1241,413324.63670000003,480839.81640000007,418264.77180000005,347456.16870000004,477546.39300000004,253593.60180000003,326048.9166,480839.81640000007,627397.1577,742666.9767,461079.27600000007,306288.3762,414971.3484,487426.66320000007,418264.77180000005,347456.16870000004,523654.3206,245360.04330000002,337575.8985,477546.39300000004,614223.4641,671858.3736,457785.85260000004,296408.106,413324.63670000003,484133.23980000004
Aberdeen CT GT1,8197.43652,36888.46434,45085.900859999994,20493.5913,24592.309559999998,24592.309559999998,8197.43652,53283.33738,36888.46434,8197.43652,20493.5913,20493.5913,8197.43652,36888.46434,45085.900859999994,20493.5913,24592.309559999998,24592.309559999998,8197.43652,57382.05563999999,36888.46434,8197.43652,20493.5913,20493.5913,8197.43652,36888.46434,45085.900859999994,20493.5913,24592.309559999998,24592.309559999998,8197.43652,53283.33738,36888.46434,8197.43652
Acadia Power Partners CC CT11,2978250.2633895,2715582.3297119997,2085179.288886,2529694.253571,2941880.857188,3006537.579324,2275108.4101604996,2909552.49612,2485242.7571024997,2925716.676654,1879085.9870775002,2707500.239445,2966127.1279889997,2723664.419979,2064974.0632185,2557981.5695055,2949962.9474549997,3006537.579324,2182164.37209,2881265.1801855,2796403.232382,2937839.8120544995,1879085.9870775002,2707500.239445,2970168.1731224996,2719623.3748454996,2073056.1534854998,2541817.3889715,2945921.9023215,3006537.579324,2210451.6880245,2897429.3607195,2804485.3226489997,2925716.676654
Acadia Power Partners CC CT12,2978250.2633895,2715582.3297119997,2085179.288886,2529694.253571,2941880.857188,3006537.579324,2275108.4101604996,2909552.49612,2485242.7571024997,2925716.676654,1879085.9870775002,2707500.239445,2966127.1279889997,2723664.419979,2064974.0632185,2557981.5695055,2949962.9474549997,3006537.579324,2182164.37209,2881265.1801855,2796403.232382,2937839.8120544995,1879085.9870775002,2707500.239445,2970168.1731224996,2719623.3748454996,2073056.1534854998,2541817.3889715,2945921.9023215,3006537.579324,2210451.6880245,2897429.3607195,2804485.3226489997,2925716.676654
Acadia Power Partners CC CT24,2447199.288237,2231367.600672,1713371.550516,2078625.175626,2417314.900728,2470442.700744,1869434.4630629998,2390751.00072,2042099.8131149998,2404032.950724,1544026.687965,2224726.62567,2437237.8257339997,2238008.575674,1696769.113011,2101868.588133,2423955.87573,2470442.700744,1793063.25054,2367507.588213,2297777.350692,2413994.413227,1544026.687965,2224726.62567,2440558.313235,2234688.0881729997,1703410.0880129999,2088586.638129,2420635.388229,2470442.700744,1816306.663047,2380789.5382169997,2304418.325694,2404032.950724
Acadia Power Partners CC CT25,2528675.602233,2305658.079648,1770416.0254440003,2147830.2944340003,2497796.252952,2552692.8738960004,1931674.849467,2470347.94248,2110088.867535,2484072.0977160004,1595433.0461850003,2298796.0020300006,2518382.485806,2312520.1572660003,1753260.8313990002,2171847.566097,2504658.33057,2552692.8738960004,1852760.9568600003,2446330.6708170003,2374278.855828,2494365.214143,1595433.0461850003,2298796.0020300006,2521813.524615,2309089.1184570002,1760122.909017,2158123.4108610004,2501227.291761,2552692.8738960004,1876778.2285230004,2460054.826053,2381140.933446,2484072.0977160004
Acadia Power Partners CC ST13,3219769.3370205,2935800.535248,2254275.4109940003,2734837.9986090004,3180450.5798520003,3250350.5925960005,2459606.6984295,3145500.5734800003,2686781.7398475003,3162975.5766660003,2031469.1203725003,2927063.0336550004,3206663.084631,2944538.0368410004,2232431.6570115,2765419.2541845003,3189188.081445,3250350.5925960005,2359125.43011,3114919.3179045003,3023175.5511780004,3176081.8290555,2031469.1203725003,2927063.0336550004,3211031.8354275003,2940169.2860445003,2241169.1586045,2747944.2509985003,3184819.3306485005,3250350.5925960005,2389706.6856855005,3132394.3210905003,3031913.052771,3162975.5766660003
Acadia Power Partners CC ST26,3512211.1068990002,3202450.290144,2459024.329932,2983234.942902,3469321.147656,3545569.9640880004,2683005.228201,3431196.73944,2930813.8816050002,3450258.9435480004,2215981.227555,3192919.1880900003,3497914.453818,3211981.3921980006,2435196.5747970003,3016593.8000910003,3478852.24971,3545569.9640880004,2573397.55458,3397837.882251,3297761.310684,3464555.596629,2215981.227555,3192919.1880900003,3502680.004845,3207215.841171,2444727.676851,2997531.5959830005,3474086.698683,3545569.9640880004,2606756.4117690003,3416900.0863590003,3307292.412738,3450258.9435480004
ACS Crookston ST G1,29751.718265499996,27854.390235,29146.188042999995,28782.869909499997,30034.299035999997,30034.299035999997,29065.450679999998,29953.561673,28984.713317,29993.9303545,29913.1929915,27047.016604999997,29630.612221,27935.127598,29146.188042999995,28782.869909499997,30034.299035999997,30034.299035999997,29065.450679999998,29953.561673,28984.713317,29993.9303545,29913.1929915,27047.016604999997,29711.349583999996,27894.7589165,29146.188042999995,28782.869909499997,30034.299035999997,30034.299035999997,29065.450679999998,29953.561673,28984.713317,29993.9303545
