Unit Name,1-Jan-2021,1-Feb-2021,1-Mar-2021,1-Apr-2021,1-May-2021,1-Jun-2021,1-Jul-2021,1-Aug-2021,1-Sep-2021,1-Oct-2021,1-Nov-2021,1-Dec-2021,1-Jan-2022,1-Feb-2022,1-Mar-2022,1-Apr-2022,1-May-2022,1-Jun-2022,1-Jul-2022,1-Aug-2022,1-Sep-2022,1-Oct-2022,1-Nov-2022,1-Dec-2022
1515 S Caron Road CT GT1,125.29495284946256,275.57056833333354,786.3219745161282,158.23952666666673,518.9741657258055,31.399131944444548,0.0,550.1715271236561,54.78507027777772,99.26936400537647,2192.2235066666663,44.05613502688146,144.64176284946234,295.82408833333375,820.310894516128,167.40130166666677,532.3767157258053,33.86036694444448,0.0,550.814197123656,54.656935277777734,97.80009900537641,2181.4435766666666,40.65382002688153
491 E. 48th Street CT 7,143098.84438451595,46361.89426142852,48760.9293096773,66078.85485500006,34358.251283870995,68170.16626333311,100839.46999645137,120849.14173548375,76801.18524000015,80277.46937096766,97036.97813333334,115007.55011451605,149484.95067580667,49657.90018428565,53294.080521290205,73109.9263050001,38895.49803225811,73166.67858499984,108955.1950709676,124964.93087419352,79729.67866500016,81659.0396532257,95036.50710666666,29922.753614838657
491 E. 48th Street CT 8,142387.13227741924,45836.963847999985,47949.97433535474,65611.76331666674,34016.76821987101,67272.16724799981,99495.57319587073,119566.31281064506,76284.34600800017,79826.40434012894,96528.36695666668,113973.01410258064,148692.2393907099,49087.69362157135,52511.25305651601,72528.4821690001,38449.52825496781,72154.77913366657,107505.69526219342,123589.76934619359,79185.15161700017,81173.56808180634,94572.27823333332,29575.104895741897
491 E. 48th Street CT 9,303223.43929556425,96990.68392552374,100776.38171160192,139389.09303888906,72069.41249011834,142007.16576999973,209920.14349927922,253069.64936053212,162116.8231400003,169866.49893109658,205494.59067700003,241646.80121335486,316527.1078710327,103798.45835319036,110620.36554680619,153915.24806400022,81277.54628722591,152114.75567422196,226779.84143864486,261449.44982906437,168274.03264600033,172663.8210786879,201403.62039172222,62553.967489150455
500MW CC CC CA01,1583622.5628579387,767229.3665411053,953429.08158494,893991.8388796994,1154359.1321585278,1111110.0965692021,1294955.25641821,1131706.3228029525,796805.4242678406,711383.8917121368,726489.8836356325,1246928.0165863798,1970772.1762174065,1100106.342351723,1161187.3909390965,861279.3430353017,1142940.6091179173,1101891.7268280007,1303918.5610254542,1173816.3630075362,805131.2749383142,591988.8729646008,673956.9460453084,1186691.202730319
500MW CC CC CT01,1584481.8263212363,767645.6602831245,953946.4061001788,894476.913127599,1154985.480032732,1111712.977793602,1295657.890849256,1132320.3794078375,797237.765789418,711769.8840570701,726884.0723950663,1247604.5917445929,1971841.5045821473,1100703.2530095372,1161817.4437827966,861746.6676924017,1143560.7613746277,1102489.6062240005,1304626.0588881918,1174453.2682506223,805568.1340131587,592310.0823368006,674322.6307691527,1187335.0937790063
500MW CC CC CT02,1584481.8263212363,767645.6602831245,953946.4061001788,894476.913127599,1154985.480032732,1111712.977793602,1295657.890849256,1132320.3794078375,797237.765789418,711769.8840570701,726884.0723950663,1247604.5917445929,1971841.5045821473,1100703.2530095372,1161817.4437827966,861746.6676924017,1143560.7613746277,1102489.6062240005,1304626.0588881918,1174453.2682506223,805568.1340131587,592310.0823368006,674322.6307691527,1187335.0937790063
59th Street CT GT1,8052.11313259356,0.0,253.24126931612955,6171.244761600004,6317.347376206455,21423.53301120001,4693.456740541935,200.56627138064596,69.7906608000012,3021.9888096000022,0.0,4900.575867561289,9063.503042167751,0.0,303.40597331612935,6154.9803936000035,6306.45125620645,21411.59598720001,4695.397932541935,209.06111938064623,71.59404480000103,2958.1724736000006,0.0,4853.478579561288
A B Brown CT 4,229040.52301129024,134160.9591983572,59013.06420696777,72355.32221900005,50628.87289635479,200739.4599180001,187583.23192919354,193485.35425983876,219584.50273533343,199499.09326761315,193019.98539466644,87674.13096061285,238105.74196241936,147847.17290399992,121198.65926016116,86136.21568600013,57089.67512206451,209302.73611200013,202213.17080445157,201010.7936348706,226835.11937200007,202355.31022761296,189568.31945799984,74811.90361254825
A B Brown CT 5,226326.0577612902,128288.51564271422,56450.861784322595,69875.09574000002,49526.01380129026,196461.98868600006,181443.2369909677,187496.26571980648,216434.1125786667,196942.10676812922,190712.9142036664,82704.16203148378,235166.0560021935,141796.17743378557,116127.95874683867,83078.7002720001,55427.186441806436,204781.12896000012,195159.60746270948,194530.16843109648,223326.93690133333,199749.42358761295,187479.41366233313,70737.07161774172
A B Brown ST 1,730786.3182655374,543324.3576949998,254570.25540709693,280352.27736833354,186840.7166974193,699447.6148799995,732381.2528726873,747987.1740430645,715270.8026799998,636585.3070488718,617903.5235644431,427278.71383430087,778235.6679141934,591187.7060075002,495911.78811510676,340838.3330683339,224533.667552419,737360.0590299999,798345.2608750542,782165.8686867736,742489.3103755557,647345.0885266131,602995.2607155546,361860.1432438169
A B Brown ST 2,751093.8452748386,573920.3566424996,274405.2903139787,296040.7598400002,197448.88495161256,727889.7396049995,775496.5925248379,791266.5356129031,733899.5026027779,651055.9858554848,633976.3917083322,466220.95700043044,803907.0766984945,623204.3995100001,527816.1289017196,363231.6191466674,242931.6997099996,768586.9017749999,847679.165921828,827670.3995654834,763333.6879972224,662306.7494670971,617184.7053244436,395613.3108862364
