Unit Name,1-Mar-2020,1-Apr-2020,1-May-2020,1-Jun-2020,1-Jul-2020,1-Aug-2020,1-Sep-2020,1-Oct-2020,1-Nov-2020,1-Dec-2020,1-Jan-2021,1-Feb-2021,1-Mar-2021,1-Apr-2021,1-May-2021,1-Jun-2021,1-Jul-2021,1-Aug-2021,1-Sep-2021,1-Oct-2021,1-Nov-2021,1-Dec-2021,1-Jan-2022,1-Feb-2022,1-Mar-2022,1-Apr-2022,1-May-2022,1-Jun-2022,1-Jul-2022,1-Aug-2022,1-Sep-2022,1-Oct-2022,1-Nov-2022,1-Dec-2022
1515 S Caron Road CT GT1,822.4288145161281,175.5900416666666,549.2038407258051,32.6031319444445,0.0,550.7143071236561,67.87268055555546,105.59183400537643,104.21745833333341,53.1159200268815,5046.527133064512,320.98495833333345,837.1288145161288,186.59005555555586,554.6288407258053,34.84313194444451,0.0,555.229307123656,68.22268055555548,106.6418340053765,104.95245833333342,57.14092002688153,5046.527133064512,320.98495833333345,829.8488145161282,180.85005555555563,552.0038407258048,33.72313194444439,0.0,552.9893071236561,68.08268055555561,106.1168340053764,104.60245833333329,55.14592002688153
491 E. 48th Street CT 7,48102.17954225786,67445.52305833339,35066.83562451617,66404.59971166667,95315.15867774174,119971.36624451607,146672.44353666657,82349.3488580644,95941.92144333334,31366.52598258062,148783.4039187096,50598.99199642854,50403.39487677402,67745.82305833341,34919.549423870965,67129.00035833326,97562.21183129016,122607.78119032251,79992.0847050001,81923.89306064507,95148.24990666675,31608.17160967736,148783.4039187096,50598.99199642854,47334.75612387077,67595.67305833338,34992.735624516135,66761.0048733333,96423.16689870949,121280.60122645163,80408.72970000003,82134.84885806443,95553.84990666679,31486.37379612904
491 E. 48th Street CT 8,47428.44268625787,66944.67304200007,34722.366359871026,65580.57418033335,94092.91312954825,118718.38456064512,145744.79313333327,81846.7123726451,95459.24776266665,30978.28166193547,148008.14507070964,50001.23255771428,49548.837919225654,67239.5130420001,34578.06635987098,66275.24006999994,96279.74736270955,121299.03387445156,79447.55765700011,81432.04584722573,94679.72323333341,31204.447286580602,148008.14507070964,50001.23255771428,46670.24853987078,67092.09304200008,34650.216359870974,65927.6741803333,95176.93550174177,119989.53743651614,79861.73765700005,81638.74584722574,95073.92776266679,31090.070203483876
491 E. 48th Street CT 9,99979.6194089028,142166.54838044458,73536.81950807001,138474.16412977775,198621.41195991368,251294.80811808055,309907.830494722,174082.91693868802,203252.87906383333,65457.40605079026,315071.0797554247,105694.71398504757,104108.87341584382,142787.15697200023,73227.86950806991,139960.46412977763,203215.99797397287,256663.92225416115,168822.32604400016,173214.516938688,201629.06204172233,65922.9956931182,315071.0797554247,105694.71398504757,98371.37379211248,142476.01767622237,73382.34450806992,139217.31412977766,200899.29077116097,253948.5940529839,169702.92606200013,173648.716938688,202459.34055277804,65689.1956931183
500MW CC CC CA01,1239599.4843537342,973209.9481724033,1234565.1567742357,918285.1686632966,1102265.3875117889,1179787.1116775433,689224.9668496449,681919.9040977058,718959.8279965864,1353314.806512338,2138199.899618757,1347749.2909814953,1376318.143059148,1042581.4016519035,1247310.7328665268,943012.9872941624,1185099.621421389,1201661.720737577,791123.5986327659,779919.4287669384,792834.838160042,1318967.4500691234,2138199.899618757,1347749.2909814953,1307104.8373918151,1008142.0536947998,1241292.7223203816,930533.7999259965,1143315.6996169563,1190695.1533250534,738974.1530558271,729728.8613439999,755287.2595220776,1335994.3046464121
500MW CC CC CT01,1240272.083097279,973738.0056592035,1235235.0239238688,918783.4243163969,1102863.4696536835,1180427.2566106296,689598.9359038225,682289.9094716059,719349.9309960422,1354049.106461612,2139360.073194241,1348480.5711176763,1377064.924471551,1043147.0996452039,1247987.5156841432,943524.6601033295,1185742.6488882483,1202313.7346934844,791552.8572321329,780342.6080554714,793265.0252670199,1319683.1133627037,2139360.073194241,1348480.5711176763,1307814.0641077082,1008689.0651183997,1241966.2398040064,931038.7016079966,1143936.0553953701,1191341.2168916976,739375.1156999161,730124.807552,755697.0735532888,1336719.20660227
500MW CC CC CT02,1240272.083097279,973738.0056592035,1235235.0239238688,918783.4243163969,1102863.4696536835,1180427.2566106296,689598.9359038225,682289.9094716059,719349.9309960422,1354049.106461612,2139360.073194241,1348480.5711176763,1377064.924471551,1043147.0996452039,1247987.5156841432,943524.6601033295,1185742.6488882483,1202313.7346934844,791552.8572321329,780342.6080554714,793265.0252670199,1319683.1133627037,2139360.073194241,1348480.5711176763,1307814.0641077082,1008689.0651183997,1241966.2398040064,931038.7016079966,1143936.0553953701,1191341.2168916976,739375.1156999161,730124.807552,755697.0735532888,1336719.20660227
59th Street CT GT1,320.5259173161294,6208.641705600002,6389.758784206451,7851.1987584,4647.989820541936,210.24717538064624,45.223252800000864,3007.2157056000024,0.0,4976.380203561288,9456.65954616775,0.0,348.38991731612987,6240.177705600002,6400.774784206456,7871.934758400001,4668.509820541936,214.56717538064595,68.55125280000084,3054.735705600003,0.0,4953.05220356129,9456.65954616775,0.0,334.56591731612934,6224.625705600002,6395.59078420645,7861.566758400002,4658.357820541933,212.4071753806461,56.887252800000624,3030.9757056000026,0.0,4964.716203561287
A B Brown CT 4,108123.65984477405,75050.01410900004,51619.75637661287,197474.0288879997,177816.8289633228,191892.05598358077,229567.71700733347,203723.09027235484,191102.73712399974,81429.26906158059,237116.64211219357,151554.9018544284,61044.32261519364,75627.94185599993,51402.25637661287,198848.6288879998,181815.6535409682,196723.6920360967,227489.937052,202884.95230761322,189755.27375799994,82488.92906158039,237116.6421121935,151554.90185442852,62344.987192838744,75336.24410900011,51511.00637661293,198161.3288880001,179808.25896332297,194280.73203609698,228523.49705200005,203302.55230761314,190433.87375799974,81959.09906158078
A B Brown CT 5,103628.10043103213,72498.41677400001,50382.163951354814,193274.95065899973,172030.88835509698,186002.0540616773,225979.31227166674,201114.26566761293,188961.26086299977,76898.5230020645,234197.21279696777,145435.77650399972,58324.72781432263,73070.87677399989,50202.8390012903,194614.75065899978,175887.41944567772,190497.99568606424,223961.91162133333,200279.0656676132,187656.7805623332,77901.60230696754,234197.2127969677,145435.77650399983,59499.96363225803,72784.64677400008,50290.81395135485,193944.85065900005,173936.1436277423,188231.21126980666,224964.15162133338,200696.66566761312,188316.59086299973,77397.90300206456
