Unit Name,1-Jan-2018,1-Feb-2018,1-Mar-2018,1-Apr-2018,1-May-2018,1-Jun-2018,1-Jul-2018,1-Aug-2018,1-Sep-2018,1-Oct-2018,1-Nov-2018,1-Dec-2018,1-Jan-2019,1-Feb-2019,1-Mar-2019,1-Apr-2019,1-May-2019,1-Jun-2019,1-Jul-2019,1-Aug-2019,1-Sep-2019,1-Oct-2019,1-Nov-2019,1-Dec-2019,1-Jan-2020,1-Feb-2020,1-Mar-2020,1-Apr-2020,1-May-2020,1-Jun-2020,1-Jul-2020,1-Aug-2020,1-Sep-2020,1-Oct-2020,1-Nov-2020,1-Dec-2020
1515 S Caron Road CT GT1,5496.397375000002,0.0,53.20787500000006,160.0843124999999,491.4157500000001,20.00643750000006,0.0,542.1714374999999,53.22143749999998,101.38143750000006,114.47143749999998,44.43643750000001,112.56787499999996,267.3028750000001,778.3107499999996,1851.7528750000001,280.9664375000001,290.8364375,1454.7207499999995,4.991437500000018,3132.1600625000005,5780.812187500001,2154.3843125000003,157.34643749999998,0.0,0.0,0.0,61.65643749999998,0.0,149.29643750000002,0.0,0.0,0.0,1029.57575,553.7214375,0.0
491 E. 48th Street CT 7,241050.65243999992,21962.975189999997,49584.458040000114,81995.79257999989,212456.11920000002,67072.44764999999,95373.44271000006,131991.44907000012,166262.57193000024,109488.57972000024,193754.4386700004,146634.38634000014,156554.5671300001,44226.77336999998,48695.65037999995,70315.95206999997,32545.495710000003,30348.104670000015,121134.89855999996,27167.004539999994,71447.60376000001,74440.59479999998,95032.20323999997,23870.85674999999,59109.826229999984,14855.748179999999,18785.257920000007,53224.72544999999,36249.06441000001,72610.45467000004,268416.8346600001,74515.47011999998,11389.298309999998,59636.96972999991,10181.07675,34863.26532000003
491 E. 48th Street CT 8,239103.2755799999,21626.691527999996,48743.03382000013,80780.25594599999,210988.66448399998,66221.79322200004,94150.75893600006,130515.28448400015,164991.27192600025,108065.58149400022,191557.74112800043,144973.5064440003,155648.4086040001,43756.20989999997,48014.37365399998,69763.75528199997,32248.859136000014,29969.704518000013,120322.72262399997,26783.40451800001,71004.59870400003,74071.42391999999,94568.13989999998,23640.12494999999,58850.886744,14726.538372000003,18637.58956800001,52901.70092999999,35862.73392000001,72238.81392000003,267330.6399660001,73835.88365399996,11269.317774,58911.88664399994,9950.344949999999,34531.01152800003
491 E. 48th Street CT 9,507394.4492884998,45539.910942500006,102452.1846285002,170239.52102650004,448341.55014699994,139847.0305395,198741.50830400013,276016.9610580003,350314.14558150055,228063.3342360005,405043.9756760008,306601.63289050036,331163.6832725002,92604.45731949995,101216.927796,148082.8868745,68370.90412050001,63274.25867550002,255700.2550839999,56477.15276450002,150978.78686400008,157718.91821999993,201394.9373195,50070.74093199997,125392.327754,31225.431377,39565.9318325,112507.22548699997,75913.13322000002,153811.74730900006,569817.2982935002,156496.95325149992,23845.180921500003,124435.55552899986,20760.256387500005,73148.87139800006
500MW CC CC CA01,11110072.976230519,1563002.7248216006,1412653.9603105974,2046765.4042190998,1186311.5797710994,1248562.6386891007,2013179.5536165978,2709652.170532692,2737026.830261999,2226510.2566613974,2352073.403051294,2045676.5200102953,3093122.8939225907,1373022.8111351999,1637138.5010141018,921351.3572581969,670474.9863364005,788581.1440713983,1471390.6734841052,665612.4980713977,339380.17345560016,377472.1590580996,854011.4498664001,1180793.2420790032,1134921.506549,454372.8515842997,164074.42978930008,93701.22361199991,105760.15930789991,268714.74562149984,908240.6972096001,865271.7568979017,198010.40744989982,394110.4375843003,482251.4706328991,1935791.865480299
500MW CC CC CT01,11116101.230694018,1563850.8000928008,1413420.4573047971,2047875.9660228002,1186955.2648387996,1249240.1007828007,2014271.8919527973,2711122.410451592,2738511.9234959986,2227718.3468711977,2353349.6230203942,2046786.4909923957,3094801.20260079,1373767.8045215998,1638026.801882802,921851.2766055968,670838.7817712007,789009.0231511979,1472189.0406428054,665973.6551511977,339564.3189648001,377676.97303479945,854474.8310112001,1181433.9329320032,1135537.3076920002,454619.3913843995,164163.45552440005,93752.0652959999,105817.54409319989,268860.54852199997,908733.5027968003,865741.2478132013,198117.84662919992,394324.27938440023,482513.137193199,1936842.2137523992
500MW CC CC CT02,11116101.230694018,1563850.8000928008,1413420.4573047971,2047875.9660228002,1186955.2648387996,1249240.1007828007,2014271.8919527973,2711122.410451592,2738511.9234959986,2227718.3468711977,2353349.6230203942,2046786.4909923957,3094801.20260079,1373767.8045215998,1638026.801882802,921851.2766055968,670838.7817712007,789009.0231511979,1472189.0406428054,665973.6551511977,339564.3189648001,377676.97303479945,854474.8310112001,1181433.9329320032,1135537.3076920002,454619.3913843995,164163.45552440005,93752.0652959999,105817.54409319989,268860.54852199997,908733.5027968003,865741.2478132013,198117.84662919992,394324.27938440023,482513.137193199,1936842.2137523992
59th Street CT GT1,287106.8831280003,2804.2034112000038,355.5048528000002,7550.4939696,6346.8505583999995,21581.731411200002,0.0,16073.052264000005,45266.46793920001,40086.326822400006,8792.309116800003,625.6897056000007,11461.296528000013,0.0,238.64885280000044,6184.449705600001,0.0,7728.170558399999,4729.936852800001,80.10485280000012,0.0,2778.129705600001,0.0,4848.6745584,3758.522558400002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.62485280000055,8946.501969600002
A B Brown CT 4,684086.4720389985,149065.8394109999,109220.28424200014,148470.727917,488141.0763030007,212320.56723000004,171584.777688,195030.6123990001,346294.91814600036,180280.66389300005,175847.80526700034,105133.60688100004,238675.81183199992,50919.958385999984,60768.57884400003,75449.76585599987,47232.567699,79192.33263900001,187002.28780799994,61740.98689200003,214694.26183200005,190863.93436199985,188955.04413299996,36873.493446000015,97303.83516899997,36461.06620499998,29024.306205,87882.7153980001,68776.613904,77089.43240999995,199614.10700099956,103916.26033800002,41874.31643400001,112562.32033800014,24620.58666299998,64463.027927999996
A B Brown CT 5,671287.8974279985,142995.3250619999,104670.18824400008,142616.80285200005,480174.56764800055,207607.92112800002,166000.59064199997,188921.01573599997,340155.1892940001,174013.1015039999,167404.08629999997,98703.49438800011,235718.05786799986,48882.52835399995,58079.442773999996,72896.41277399982,46325.64307199999,77230.40547,183669.84363599998,59840.30902800002,211744.337868,188458.64344799987,186906.62191199994,35896.28595600001,95867.06749199996,35646.726629999976,28209.966629999995,86036.87902800008,67039.35614399999,75460.75325999994,195216.43891799962,101033.48854200004,40679.951724,109678.34498400017,23135.603933999955,63160.08460799999
