Unit Name,1-Jan-2018,1-Feb-2018,1-Mar-2018,1-Apr-2018,1-May-2018,1-Jun-2018,1-Jul-2018,1-Aug-2018,1-Sep-2018,1-Oct-2018,1-Nov-2018,1-Dec-2018,1-Jan-2019,1-Feb-2019,1-Mar-2019,1-Apr-2019,1-May-2019,1-Jun-2019,1-Jul-2019,1-Aug-2019,1-Sep-2019,1-Oct-2019,1-Nov-2019,1-Dec-2019,1-Jan-2020,1-Feb-2020,1-Mar-2020,1-Apr-2020,1-May-2020,1-Jun-2020,1-Jul-2020,1-Aug-2020,1-Sep-2020,1-Oct-2020,1-Nov-2020,1-Dec-2020
1515 S Caron Road CT GT1,11311.652625,0.0,870.127125,1305.1906875,1740.25425,435.0635625,0.0,435.0635625,435.0635625,435.0635625,435.0635625,435.0635625,870.127125,870.127125,1740.25425,870.127125,435.0635625,435.0635625,1740.25425,435.0635625,3045.4449375,2175.3178125000004,1305.1906875,435.0635625,0.0,0.0,0.0,435.0635625,0.0,435.0635625,0.0,0.0,0.0,1740.25425,435.0635625,0.0
491 E. 48th Street CT 7,310270.50756,54150.98481000001,134645.69196,196114.37742000003,234166.42080000002,139036.31235000002,194650.83729000002,235629.96093000003,203432.07807000002,228312.26028000002,352713.17133000004,266364.30366000003,144890.47287,74640.54663000001,108301.96962000002,89275.94793,48296.824290000004,60005.14533,128791.53144,61468.68546000001,70249.92624000002,58541.605200000005,76104.08676,36588.50325,42442.66377000001,20489.56182,23416.64208,51223.90455,62932.22559000001,60005.14533,172697.73534,111229.04988,19026.02169,115619.67027000002,36588.50325,52687.44468000001
491 E. 48th Street CT 8,309281.57441999996,53019.698472000004,132549.24618,187041.71405399998,232697.565516,131076.47677799998,194405.561064,232697.565516,201769.40807399998,225333.718506,347573.578872,262152.95355599996,144331.401396,73638.4701,107512.166346,86893.394718,47128.620864,60383.545482,129603.70737599999,60383.545482,70692.931296,58910.776079999996,73638.4701,36819.23505,41237.54325599999,20618.771627999995,23564.310432,51546.92907,58910.776079999996,58910.776079999996,172314.020034,107512.166346,19146.002226,114876.013356,36819.23505,53019.698472000004
491 E. 48th Street CT 9,657221.8007115,111124.45905749999,276223.6553715,390523.09897349996,488947.619853,282573.6244605,406398.021696,495297.588942,422272.9444185,482597.65076399996,736596.414324,542922.3571095,301623.5317275,155574.2426805,228598.887204,187324.08812549998,98424.5208795,130174.3663245,279398.639916,123824.3972355,152399.25813600002,126999.38178,155574.2426805,76199.62906800001,88899.56724599999,44449.783622999996,47624.7681675,107949.47451300001,126999.38178,120649.41269099999,371473.19170649996,231773.87174849998,41274.7990785,247648.794471,79374.61361249999,114299.443602
500MW CC CC CA01,2773150.1877695005,1910842.1731784004,2437133.4496894004,2214471.7557809004,1566728.6462289004,1809632.3123109,2518101.3383834003,2667891.9324673004,2186132.9947380004,2582875.6493386,2514052.9439487006,2635504.7769897003,2599069.2270774003,2364262.3498648005,2821730.9209859003,1999906.8507418004,1570777.0406636002,1368357.3189286003,2416891.4775159005,1368357.3189286003,1020195.3975444001,716565.8149419001,1975616.4841336003,1740809.6069210004,1335970.1634510003,935179.1144157001,327919.94921070006,161935.77738800002,174080.96069210002,627501.1373785001,1748906.3957904002,1388599.2911021002,740856.1815501001,935179.1144157001,1186179.5693671003,2230665.3335197004
500MW CC CC CT01,2774654.8813060005,1911878.9839072002,2438455.8226952003,2215673.3139772,1567578.7431612003,1810614.2072172,2519467.6440472,2669339.5135484003,2187319.176504,2584277.1011288003,2515417.0529796,2636934.7850076,2600479.4653992,2365545.1834784006,2823261.9741172004,2000991.9873944004,1571629.3342288001,1369099.7808488002,2418202.8673572,1369099.7808488002,1020748.9490352,716954.6189652,1976688.4409888003,1741754.1590680003,1336695.0523080002,935686.5366156001,328097.87647560006,162023.64270400003,174175.41590680002,627841.615478,1749855.3412032002,1389352.7361868003,741258.1653708001,935686.5366156001,1186823.1828068001,2231875.6782476003
500MW CC CC CT02,2774654.8813060005,1911878.9839072002,2438455.8226952003,2215673.3139772,1567578.7431612003,1810614.2072172,2519467.6440472,2669339.5135484003,2187319.176504,2584277.1011288003,2515417.0529796,2636934.7850076,2600479.4653992,2365545.1834784006,2823261.9741172004,2000991.9873944004,1571629.3342288001,1369099.7808488002,2418202.8673572,1369099.7808488002,1020748.9490352,716954.6189652,1976688.4409888003,1741754.1590680003,1336695.0523080002,935686.5366156001,328097.87647560006,162023.64270400003,174175.41590680002,627841.615478,1749855.3412032002,1389352.7361868003,741258.1653708001,935686.5366156001,1186823.1828068001,2231875.6782476003
59th Street CT GT1,447114.48487199994,13247.836588799999,3311.9591471999997,23183.7140304,9935.8774416,13247.836588799999,0.0,16559.795735999996,46367.4280608,26495.673177599998,19871.7548832,6623.9182943999995,33119.59147199999,0.0,3311.9591471999997,6623.9182943999995,0.0,9935.8774416,3311.9591471999997,3311.9591471999997,0.0,6623.9182943999995,0.0,9935.8774416,9935.8774416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3311.9591471999997,23183.7140304
A B Brown CT 4,827436.7379610001,394516.25058899994,300251.305758,387533.662083,520202.84369699995,314216.48277,363094.602312,408481.42760099994,411972.721854,415464.016107,562098.374733,429429.193119,195512.478168,132669.181614,181547.301156,167582.124144,59352.00230099999,129177.88736099999,223442.832192,125686.59310799999,195512.478168,160599.535638,136160.475867,62843.29655399999,94264.944831,52369.413795,52369.413795,118704.00460199999,111721.416096,104738.82759,289777.422999,188529.889662,76808.473566,188529.889662,101247.533337,83791.062072
A B Brown CT 5,829666.5525720001,393559.7749380001,290737.851756,375831.85714800004,510564.032352,297829.01887200004,358103.93935800006,382923.02426400007,379377.440706,397105.35849600006,531837.5337,404196.525612,191461.51213200003,131186.59164600002,166642.42722600003,166642.42722600003,56729.336928000004,124095.42453000002,205643.84636400003,120549.840972,191461.51213200003,156005.67655200002,127641.008088,63820.504044,92185.172508,53183.753370000006,53183.753370000006,120549.840972,113458.67385600001,106367.50674000001,280101.101082,180824.76145800002,78002.83827600001,184370.345016,95730.75606600002,85094.005392
