Unit Name,1-Jan-2018,1-Feb-2018,1-Mar-2018,1-Apr-2018,1-May-2018,1-Jun-2018,1-Jul-2018,1-Aug-2018,1-Sep-2018,1-Oct-2018,1-Nov-2018,1-Dec-2018,1-Jan-2019,1-Feb-2019,1-Mar-2019,1-Apr-2019,1-May-2019,1-Jun-2019,1-Jul-2019,1-Aug-2019,1-Sep-2019,1-Oct-2019,1-Nov-2019,1-Dec-2019,1-Jan-2020,1-Feb-2020,1-Mar-2020,1-Apr-2020,1-May-2020,1-Jun-2020,1-Jul-2020,1-Aug-2020,1-Sep-2020,1-Oct-2020,1-Nov-2020,1-Dec-2020
1515 S Caron Road CT GT1,1047.1619530821945,-4018.664252054795,-4396.027546917808,-4145.627386130137,-3957.8196719178077,-4285.705261130137,-4449.235421917808,-3907.063984417808,-4252.490261130137,-4347.853984417808,-4191.240261130137,-4404.798984417808,-4336.667546917808,-3751.3613770547945,-3670.924671917808,-2453.958823630137,-4168.268984417808,-4014.875261130137,-2994.5146719178083,-4444.243984417808,-1173.5516361301366,1331.5767655821937,-2151.3273861301363,-4291.8889844178075,-4437.079040983606,-4150.81587704918,-4437.079040983606,-4232.291021516394,-4437.079040983606,-4144.6510215163935,-4437.079040983606,-4437.079040983606,-4293.947459016394,-3407.5032909836063,-3740.2260215163938,-4437.079040983606
491 E. 48th Street CT 7,227357.8596098629,9595.291343424658,35891.66520986312,68744.70274438344,198763.326369863,53821.35781438355,81680.64987986308,118298.65623986314,153011.48209438383,95795.78688986326,180503.34883438394,132941.59350986316,142861.77429986311,31859.089523424638,35002.857549862965,57064.86223438353,18852.70287986302,17097.014834383568,107442.10572986296,13474.211709863008,58196.51392438357,60747.801969862994,81781.11340438352,10178.063919863005,45454.445402131125,2081.359663606556,5129.877092131153,40009.84077786884,22593.68358213116,59395.569997868886,254761.45383213126,60860.08929213112,-1825.5863621311528,45981.58890213106,-3033.807922131151,21207.884492131176
491 E. 48th Street CT 8,225410.4827498629,9259.007681424657,35050.240989863145,67529.16611038355,197295.87165386303,52970.7033863836,80457.96610586307,116822.49165386318,151740.1820903838,94372.78866386325,178306.65129238402,131280.7136138633,141955.6157738631,31388.52605342463,34321.580823863,56512.66544638353,18556.066305863023,16718.614682383566,106629.92979386296,13090.611687863024,57753.50886838359,60378.631089863,81317.05006438354,9947.332119863004,45195.50591613115,1952.1498556065599,4982.208740131156,39686.81625786884,22207.35309213116,59023.92924786888,253675.25913813125,60180.50282613111,-1945.566898131152,45256.50581613109,-3264.5397221311505,20875.63070013118
491 E. 48th Street CT 9,478077.82874192443,19060.38270688357,73135.56408192485,141868.597916911,419024.92960042466,111476.10742991096,169424.88775742476,246700.340511425,321943.22247191146,198746.71368942517,376673.05256641173,277285.0123439251,301847.0627259248,66124.92908388351,71900.30724942466,119711.96376491095,39054.283573924666,34903.33556591099,226383.63453742454,27160.532217924687,122607.86375441104,128402.29767342459,173024.01420991094,20754.120385424627,96155.80726356283,3875.13801497814,10329.411342062838,84213.81856077045,46676.61272956287,125518.34038277055,540580.777803063,127260.43276106275,-4448.226004729502,95199.03503856268,-7533.150538729504,43912.3509075629
500MW CC CC CA01,10940833.32187874,1410141.1015361212,1243414.3059588165,1882985.0935560863,1017071.9254193185,1084782.328026087,1843939.8992648167,2540412.516180911,2573246.5195989856,2057270.6023096165,2188293.09238828,1876436.8656585147,2923883.23957081,1220161.1878497207,1467898.846662321,757571.0465951832,501235.33198461967,624800.8334083846,1302151.0191323245,496372.84371961694,175599.86279258647,208232.50470631878,690231.1392033864,1011553.5877272221,966144.2556244099,296484.4555580702,-4702.8211352900835,-69631.5998634099,-63017.09161669023,105381.92214609002,739463.4462850098,696494.5059733116,34677.58397449003,225333.18665971013,318918.64715748926,1767014.614555709
500MW CC CC CT01,10946769.74798936,1410906.2350692393,1244088.9746001395,1884006.789211841,1017623.782134142,1085370.9239718418,1844940.4092481395,2541790.9277469344,2574642.7466850397,2058386.86416654,2189480.4462094354,1877455.0082877383,2925469.7198961326,1220823.239498038,1468695.3191781442,757982.099794638,501507.2990665432,625139.846340239,1302857.5579381478,496642.17244654015,175695.1421538412,208345.4903301419,690605.6542002413,1012102.4502273456,966668.4793116723,296645.32612538314,-4705.372855927824,-69669.38152367223,-63051.284287127986,105439.1017023279,739864.6744164726,696872.4194328734,34696.39980952779,225455.4510040723,319091.6903735268,1767973.385372071
500MW CC CC CT02,10946769.74798936,1410906.2350692393,1244088.9746001395,1884006.789211841,1017623.782134142,1085370.9239718418,1844940.4092481395,2541790.9277469344,2574642.7466850397,2058386.86416654,2189480.4462094354,1877455.0082877383,2925469.7198961326,1220823.239498038,1468695.3191781442,757982.099794638,501507.2990665432,625139.846340239,1302857.5579381478,496642.17244654015,175695.1421538412,208345.4903301419,690605.6542002413,1012102.4502273456,966668.4793116723,296645.32612538314,-4705.372855927824,-69669.38152367223,-63051.284287127986,105439.1017023279,739864.6744164726,696872.4194328734,34696.39980952779,225455.4510040723,319091.6903735268,1767973.385372071
59th Street CT GT1,271012.1445438907,-11732.979826060273,-15739.233731309589,-8025.0594988931525,-9747.888025709588,6006.177942706845,-16094.73858410959,-21.686320109583903,29690.914470706855,23991.588238290424,-6783.244351693151,-15469.048878509588,-4633.442056109578,-14537.183237260277,-15856.089731309588,-9391.103762893152,-16094.73858410959,-7847.382910093154,-11364.801731309588,-16014.63373130959,-15575.553468493154,-13316.608878509589,-15575.553468493154,-11246.06402570959,-12292.241330124589,-15015.23073442623,-16050.76388852459,-15532.997311475412,-16050.76388852459,-15532.997311475412,-16050.76388852459,-16050.76388852459,-15532.997311475412,-16050.76388852459,-15432.37245867541,-7104.261918924589
A B Brown CT 4,644462.3327650259,113276.29426031497,69596.14496802754,110124.7866841233,448516.9370290281,173974.62599712334,131960.6384140274,155406.47312502752,307948.9769131237,140656.52461902745,137501.86403412363,65509.467607027436,199051.6725580273,15130.413235315049,21144.439570027425,37103.82462312315,7608.428425027392,40846.3914061233,147378.14853402736,22116.847618027423,176348.32059912334,151239.79508802725,150609.10290012328,-2750.645827972592,57787.9585706393,-505.3989999180558,-10491.570393360656,49641.54449636076,29260.73730563934,38848.26150836061,160098.23040263896,64400.383739639365,3633.1455323606715,73046.44373963948,-13620.584238639363,24947.151329639346
A B Brown CT 5,631663.7581540259,107205.77991131497,65046.04897002747,104270.86161912335,440550.428374028,169261.97989512328,126376.45136802734,149296.8764620274,301809.24806112336,134388.9622300273,129058.14506712323,59079.355114027516,196093.91859402726,13092.983203315016,18455.303500027396,34550.47154112311,6701.503798027385,38884.464237123284,144045.7043620274,20216.169754027425,173398.3966351233,148834.50417402727,148560.68067912327,-3727.853317972593,56351.1908936393,-1319.7385749180612,-11305.909968360662,47795.70812636074,27523.479545639333,37219.582358360596,155700.56231963896,61517.61194363938,2438.7808223606553,70162.4683856395,-15105.566967639388,23644.208009639333
